epoch,accuracy,loss,val_accuracy,val_loss
0,0.1674107164144516,2.434187173843384,0.12364130467176437,2.8072850704193115
1,0.3410714268684387,2.015354871749878,0.09103260934352875,3.681983232498169
2,0.46645796298980713,1.728237509727478,0.11548913270235062,2.9290771484375
3,0.5548469424247742,1.4950083494186401,0.11986301094293594,2.835829973220825
4,0.5728980302810669,1.4569183588027954,0.21467390656471252,2.385611057281494
5,0.6098214387893677,1.2891050577163696,0.3899456560611725,1.8105460405349731
6,0.6285714507102966,1.227980613708496,0.648097813129425,1.1161292791366577
7,0.668367326259613,1.1282758712768555,0.6883561611175537,0.9988546371459961
8,0.675000011920929,1.1199978590011597,0.7649456262588501,0.7924557328224182
9,0.6897321343421936,1.0241786241531372,0.80027174949646,0.7179977297782898
10,0.701699435710907,1.0086413621902466,0.811141312122345,0.6777905821800232
11,0.6836734414100647,1.0364211797714233,0.7876712083816528,0.7349599599838257
12,0.7214285731315613,0.9454076290130615,0.8084239363670349,0.6658163070678711
13,0.7410714030265808,0.8820727467536926,0.811141312122345,0.6778194308280945
14,0.7321109175682068,0.88746178150177,0.8097826242446899,0.6586304306983948
15,0.7716836929321289,0.8400049805641174,0.801369845867157,0.7086917161941528
16,0.7446332573890686,0.8646530508995056,0.8369565010070801,0.5640689134597778
17,0.7772321701049805,0.7966703772544861,0.832880437374115,0.6111060976982117
18,0.7834821343421936,0.7636691927909851,0.851902186870575,0.5525097250938416
19,0.8112244606018066,0.7318359017372131,0.8150684833526611,0.648192822933197
20,0.7816964387893677,0.7676251530647278,0.835597813129425,0.5817450284957886
21,0.7785714268684387,0.771355390548706,0.86277174949646,0.512382447719574
22,0.7991949915885925,0.7163510322570801,0.8369565010070801,0.5661277174949646
23,0.7806122303009033,0.7360392212867737,0.8904109597206116,0.481245756149292
24,0.8058035969734192,0.6948885917663574,0.8464673757553101,0.5880187153816223
25,0.8139534592628479,0.6837284564971924,0.8695651888847351,0.5005645155906677
26,0.8209821581840515,0.6441130042076111,0.8586956262588501,0.5473798513412476
27,0.8392857313156128,0.6138257384300232,0.8732876777648926,0.5573559403419495
28,0.8352678418159485,0.6238889098167419,0.8505434989929199,0.5113336443901062
29,0.828711986541748,0.6269775032997131,0.8586956262588501,0.5090338587760925
